session_id,player_id,session_start,session_minutes,matches_played,wins,kills,disconnect_flag,server_region,platform_reported,clean_session_minutes,clean_matches_played,clean_wins,clean_kills,clean_session_start
S000001,P00001,"17.03.2026 13:32",48,4,1,7,NULL,NULL,PC,48.00,4,1,7,"2026-03-17 13:32:00"
S000002,P00002,2026-03-30T02:09:09Z,60,4,1,15,No,NULL,PC,60.00,4,1,15,"2026-03-30 02:09:09"
S000003,P00002,2026-04-02T16:23:09Z,67,5,3,24,No,NULL,Mobile,67.00,5,3,24,"2026-04-02 16:23:09"
S000004,P00002,2026.03.17,24,2,1,4,Yes,LATAM,PC,24.00,2,1,4,"2026-03-17 00:00:00"
S000005,P00002,"26.03.2026 20:17",37,3,2,,No,EU-Central,Mobile,37.00,3,2,NULL,"2026-03-26 20:17:00"
S000006,P00002,2026-03-08T04:05:09Z,61,5,2,19,No,NA-East,Mobile,61.00,5,2,19,"2026-03-08 04:05:09"
S000007,P00002,"03/12/2026 20:21",32,2,1,8,No,LATAM,NULL,32.00,2,1,8,"2026-03-12 20:21:00"
S000008,P00004,2025-12-15T08:54:34Z,55,3,2,16,Yes,EU-Central,PC,55.00,3,2,16,"2025-12-15 08:54:34"
S000009,P00004,01/08/2026,41,4,1,15,Yes,NULL,PC,41.00,4,1,15,"2026-01-08 00:00:00"
S000010,P00004,"12/17/2025 17:15",22,2,1,11,No,NA-West,PC,22.00,2,1,11,"2025-12-17 17:15:00"
S000011,P00004,2025-12-07T14:22:34Z,47,4,2,17,No,NULL,PC,47.00,4,2,17,"2025-12-07 14:22:34"
S000012,P00006,"11/18/2025 21:29",28,2,1,5,Yes,NA-East,PC,28.00,2,1,5,"2025-11-18 21:29:00"
S000013,P00008,"10/25/2025 22:26",39,NULL,1,8,Yes,LATAM,PC,39.00,NULL,1,NULL,"2025-10-25 22:26:00"
S000014,P00008,"10/20/2025 ",32,2,1,7,NULL,NA-East,Mobile,32.00,2,1,7,"2025-10-20 00:00:00"
S000015,P00009,2026-02-19T10:29:24Z,32,NULL,2,21,No,LATAM,Mobile,32.00,NULL,2,NULL,"2026-02-19 10:29:24"
S000016,P00009,"Jan 31, 2026",28,2,1,,NULL,NULL,PC,28.00,2,1,NULL,"2026-01-31 00:00:00"
S000017,P00009,"01/12/2026 15:12",45,3,2,14,No,NULL,PC,45.00,3,2,14,"2026-01-12 15:12:00"
