player_id,country,region,platform,acquisition_channel,age,skill_segment,device_name,clean_signup_date,row_num
NULL,"United Kingdom",EMEA,NULL,Influencer,35,Core,"Windows 10","2025-08-13 14:33:00",1
NULL,NULL,APAC,Xbox,Influencer,23,Core,PS5,"2025-08-14 00:00:00",1
NULL,"South Korea",APAC,Xbox,Influencer,23,Core,PS5,"2025-08-14 00:00:00",1
NULL,Brazil,LATAM,Mobile,Influencer,32,Core,"Windows 10","2025-08-17 22:31:00",1
NULL,Spain,EMEA,Mobile,Influencer,43,Core,iPad,"2025-09-17 03:31:54",1
NULL,India,APAC,PC,"Paid Search",38,Competitive,"Windows 10","2025-09-19 19:33:46",1
NULL,"United States",NA,Mobile,NULL,43,Core,"Windows 10","2025-09-26 00:00:00",1
NULL,"United States",NA,PC,NULL,43,Core,"Windows 10","2025-09-26 00:00:00",1
NULL,India,APAC,PC,"Paid Search",22,Core,"Steam Deck","2025-10-04 00:00:00",1
NULL,"United States",NA,PC,"Paid Search",41,Casual,"Xbox Series X","2025-10-07 11:23:57",1
NULL,"United Kingdom",EMEA,Mobile,Influencer,18,Competitive,iPhone,"2025-10-13 06:22:00",1
NULL,"United States",NA,PC,Discord,45,Core,"Xbox Series X","2025-11-20 08:01:17",1
NULL,Brazil,LATAM,NULL,"App Store",37,Casual,"Windows 11","2025-12-01 00:00:00",1
NULL,Canada,NA,PC,Influencer,16,Competitive,NULL,"2025-12-23 00:00:00",1
NULL,"United States",NA,PC,Discord,35,Core,"Windows 10","2026-01-05 05:05:00",1
NULL,"United Kingdom",EMEA,PC,Organic,45,Core,"Windows 11","2026-01-15 18:26:00",1
NULL,Australia,APAC,PlayStation,Influencer,22,Competitive,"Xbox Series X","2026-02-01 00:00:00",1
NULL,Mexico,LATAM,PC,"Paid Search",NULL,Core,"Windows 11","2026-02-20 08:23:54",1
NULL,"United Kingdom",EMEA,PC,"App Store",45,Casual,"Windows 11","2026-02-25 11:15:00",1
NULL,"United States",NA,Mobile,Influencer,44,Casual,"Windows 11","2026-03-05 17:46:00",1
P00001,India,APAC,PlayStation,Organic,22,Casual,"Windows 11","2026-02-06 00:00:00",1
P00002,Japan,APAC,PC,"App Store",NULL,Casual,"Windows 11","2026-02-17 18:04:00",1
P00003,"United Kingdom",EMEA,PC,Organic,40,Competitive,"Android Tablet","2025-08-09 00:00:00",1
P00004,India,APAC,Mobile,Organic,38,Casual,iPhone,"2025-11-29 03:41:00",1
P00005,Australia,APAC,Mobile,"Paid Search",43,Core,"Xbox Series X","2026-02-11 00:14:01",1
P00006,"United Kingdom",EMEA,PlayStation,"Paid Search",28,Core,"Android Tablet","2025-11-04 11:22:00",1
P00007,"United Kingdom",EMEA,Mobile,Referral,34,Casual,"Android Tablet","2026-02-07 20:54:00",1
P00008,Mexico,LATAM,PC,"Paid Search",21,Casual,"Windows 11","2025-09-26 00:00:00",1
P00009,Germany,EMEA,Mobile,Organic,36,Core,"Samsung Galaxy","2026-01-01 00:00:00",1
P00010,"United States",NA,Xbox,Organic,34,Casual,"Samsung Galaxy","2026-02-24 14:25:16",1
