session_id,player_id,session_start,session_minutes,matches_played,wins,kills,disconnect_flag,server_region,platform_reported
S000001,P00001,"17.03.2026 13:32",48,4,1,7,,,steam
S000002,P00002,2026-03-30T02:09:09Z,60,4,1,15,No,NULL,PC
S000003,P00002,2026-04-02T16:23:09Z,67,5,3,24,N,NULL,IOS/Android
S000004,P00002,2026.03.17,24,2,1,4,Yes,LATAM,Steam
S000005,P00002,"26.03.2026 20:17",37,3,2,,N,EU-Central,Mobile
S000006,P00002,2026-03-08T04:05:09Z,61,5,2,19,No,NA-East,Mobile
S000007,P00002,"03/12/2026 20:21",32,2,1,8,No,LATAM,
S000008,P00004,2025-12-15T08:54:34Z,55,3,2,16,Yes,EU-Central,Steam
S000009,P00004,01/08/2026,41,4,1,15,Y,NULL,PC
S000010,P00004,"12/17/2025 17:15",22,2,1,11,N,"NA West",Steam
S000011,P00004,2025-12-07T14:22:34Z,47,4,2,17,No,,pc/steam
S000012,P00006,"11/18/2025 21:29",28,2,1,5,1,NA-East,PC
S000013,P00008,"10/25/2025 22:26",39,NULL,1,8,1,LATAM,steam
S000014,P00008,"10/20/2025 ",32,2,1,7,,NA-East,Mobile
S000015,P00009,2026-02-19T10:29:24Z,32,NULL,2,21,N,LATAM,IOS/Android
S000016,P00009,"Jan 31, 2026",28,2,1,,,,pc/steam
S000017,P00009,"01/12/2026 15:12",45,3,2,14,No,,Steam
S000018,P00009,"01/12/2026 15:12",45,3,2,14,No,,Steam
S000019,P00009,01/03/2026,40,3,1,13,N,"NA West",Mobile
S000020,P00009,2026-02-02T18:22:24Z,14,1,0,5,0,LATAM,Xbox
S000021,P00009,2026-01-30T10:00:24Z,22,2,1,2,N,NA-East,Mobile
S000022,P00010,"03/10/2026 20:21",46,3,2,11,Y,NA-East,Xbox
S000023,P00010,"04/14/2026 18:25",33,3,1,20,No,NULL,Xbox
S000024,P00010,2026-03-19T13:03:16Z,44,3,1,19,,NULL,
S000025,P00011,"03/25/2026 16:51",61,4,2,13,1,APAC,
S000026,P00011,2026-04-22T08:36:16Z,28,2,1,4,Y,EU-Central,Steam
S000027,P00011,"Apr 07, 2026 06:16AM",20m,1,1,0,Y,EU-Central,pc/steam
S000028,P00011,"Apr 22, 2026 08:29AM",40,3,1,13,No,APAC,Mobile
S000029,P00011,"04/01/2026 20:26",59,4,2,14,Y,LATAM,PS5
S000030,P00011,2026-03-24T19:42:16Z,"57 mins",4,2,15,0,NA-East,PC
S000031,P00011,"Mar 23, 2026 05:11AM",23,2,1,2,1,APAC,IOS/Android
S000032,P00011,2026-03-30T02:15:16Z,30,2,1,10,0,,Xbox
S000033,P00011,"Apr 05, 2026",18,1,1,2,Y,EU-Central,steam
S000034,P00011,"03/31/2026 10:19",12,1,0,3,1,EU-Central,PS5
S000035,P00011,2026-04-06T12:55:16Z,32,2,1,13,Y,"NA West",
S000036,P00014,2026-02-15T13:43:10Z,9,1,1,7,1,NULL,Xbox
S000037,P00014,2026/03/13,18,1,1,0,0,"NA West",Xbox
S000038,P00014,"Feb 14, 2026 08:34PM",34,2,1,6,No,NA-East,Xbox
S000039,P00014,"03/19/2026 05:41",32,2,1,5,0,NULL,PC
S000040,P00014,2026-02-24T11:27:10Z,"43 mins",2,1,,N,APAC,IOS/Android
S000041,P00014,"03/07/2026 08:47",16,1,1,3,No,EU-Central,pc/steam
S000042,P00014,2026-03-21T18:42:10Z,"6 mins",1,1,6,Y,"NA West",Xbox
S000043,P00017,2026-01-18T13:26:51Z,52,5,2,25,Y,LATAM,PC
S000044,P00017,"12/23/2025 03:17",53,NULL,,16,Yes,EU-Central,PC
S000045,P00017,"12/04/2025 02:40",34,2,1,11,No,NULL,IOS/Android
S000046,P00017,"Jan 12, 2026",17,1,1,3,Y,NULL,PC
S000047,P00017,2026-01-04T20:27:51Z,46m,3,1,10,Yes,,Xbox
S000048,P00017,"12/07/2025 12:55",36,3,2,10,,"NA West",PC
S000049,P00017,2026-01-05T17:15:51Z,46,3,,15,Y,NA-East,
S000050,P00017,2025-12-24T07:05:51Z,37,3,1,11,No,LATAM,PS5
S000051,P00017,2025-12-27T23:01:51Z,48,3,1,9,N,"NA West",Xbox
S000052,P00018,"01/25/2026 20:38",28,3,1,18,No,,
S000053,P00018,01/02/2026,6,1,1,5,0,,pc/steam
S000054,P00024,"03/19/2026 17:41",57,5,2,16,0,NULL,Mobile
S000055,P00024,"04/05/2026 05:57",26,2,1,,0,LATAM,IOS/Android
S000056,P00026,"10/27/2025 05:11",72,6,3,28,Y,NULL,Steam
S000057,P00027,"02/15/2026 11:33",42,3,1,11,Yes,APAC,steam
S000058,P00027,2026.02.14,11m,1,0,10,No,"NA West",steam
S000059,P00027,2026-01-04T10:34:40Z,77,5,2,23,No,NA-East,Xbox
S000060,P00027,2026-02-07T17:33:40Z,32,2,1,8,N,,Xbox
S000061,P00027,2026-02-19T12:15:40Z,30,3,1,10,N,NA-East,PS5
S000062,P00027,"01/08/2026 07:22",34,3,1,26,1,LATAM,
S000063,P00027," 12/31/2025 ",56,3,1,12,Yes,EU-Central,PC
S000064,P00027,"02/10/2026 08:32",63,5,2,18,No,NA-East,PS5
S000065,P00027,2026-01-22T01:26:40Z,59,3,2,7,N,NA-East,pc/steam
S000066,P00027,"2026-02-06 18:19:40",42,4,1,15,0,"NA West",PS5
S000067,P00027,2026-02-18T23:21:40Z,58,3,1,9,N,"NA West",
S000068,P00027,"01/29/2026 03:19",27,2,1,13,No,,PS5
S000069,P00028,08-03-2026,43,3,1,16,Yes,APAC,Xbox
S000070,P00028,"04/02/2026 17:43",27,2,1,8,N,LATAM,steam
S000071,P00028,"04/21/2026 01:30",41m,3,1,10,1,EU-Central,Steam
S000072,P00028,2026.03.16,21,2,1,9,Yes,APAC,Xbox
S000073,P00028,"04/04/2026 12:34",37,3,2,18,,NA-East,Xbox
S000074,P00028,"04/25/26 07:30",30,3,1,11,N,"NA West",PC
S000075,P00028,"Mar 06, 2026 03:15PM",44,3,2,9,0,LATAM,PS5
S000076,P00028,2026-04-07T15:58:00Z,13,1,0,6,No,APAC,PC
S000077,P00030,"11/02/2025 20:32",41,3,1,20,Y,EU-Central,steam
S000078,P00030,"10/29/2025 00:02",30,2,1,16,1,APAC,Steam
S000079,P00030,"11/10/2025 13:04","33 mins",2,1,12,0,EU-Central,Mobile
S000080,P00030,"11/20/2025 16:44",48,4,,,N,LATAM,
S000081,P00030,2025-11-14T20:01:21Z,40m,2,1,8,1,NA-East,PC
S000082,P00030,11-10-2025,56,NULL,4,29,,,IOS/Android
S000083,P00030,2025-11-02T06:00:21Z,38,3,2,15,1,"NA West",Steam
S000084,P00031,"11/06/2025 12:33",44,4,2,23,Y,NULL,Steam
S000085,P00031,2025/11/21,55,4,3,16,0,NULL,PC
S000086,P00031,"12/05/2025 01:46",40,2,1,8,Yes,"NA West",IOS/Android
S000087,P00031,2025-10-30T12:12:00Z,41,3,1,11,No,NA-East,Xbox
S000088,P00031,2025.11.14,62,4,2,18,0,LATAM,Mobile
S000089,P00031,"11/17/2025 18:24",40,3,2,19,Y,"NA West",steam
S000090,P00032,"2026-02-13 15:43:39",40,3,1,,No,EU-Central,
S000091,P00032,"03/04/2026 02:02",38,3,2,17,Y,LATAM,PC
S000092,P00032,"08.03.2026 21:18",26,2,1,15,No,,PC
S000093,P00032,2026-02-26T10:50:39Z,6,1,1,2,1,LATAM,PS5
S000094,P00032,"02/24/2026 03:17",67,4,2,16,0,APAC,pc/steam
S000095,P00032,"03/18/26 00:47",45,3,2,11,Yes,,Xbox
S000096,P00032,"03/21/2026 05:50",39,3,2,21,1,NA-East,PS5
S000097,P00032,2026.03.23,56,4,2,18,0,EU-Central,Steam
S000098,P00034,2026.01.03,66,4,2,20,No,EU-Central,IOS/Android
S000099,P00034,2025-12-30,40,3,,15,Yes,,Steam
S000100,P00034,2026-01-08T08:52:40Z,45,3,1,18,0,EU-Central,Steam
S000101,P00034,"02/10/2026 17:24",30,3,1,5,Y,,PC
S000102,P00034,"02/03/2026 03:19","65 mins",4,2,21,,APAC,Xbox
S000103,P00034,"01/28/2026 02:45",37,3,1,14,,"NA West",steam
S000104,P00037,"11/29/2025 17:45",47,NULL,2,16,1,NA-East,steam
S000105,P00037,2025-11-10T02:44:20Z,50,4,3,15,No,NULL,Mobile
S000106,NULL," 2025.11.21",57,4,2,16,Yes,EU-Central,steam
S000107,P00037," Nov 08, 2025 02:13AM",39,3,1,11,1,NA-East,
S000108,P00037,12/03/2025,22,2,1,6,1,,Xbox
S000109,P00037,2025-11-17T04:19:20Z,68,6,4,31,0,NULL,steam
S000110,P00037,2025-11-20T09:03:20Z,53,4,2,16,1,NA-East,Steam
S000111,P00037,"11/19/2025 03:30","64 mins",5,4,23,1,,PS5
S000112,P00038,2026-01-13T05:41:20Z,57,4,1,10,0,EU-Central,IOS/Android
S000113,P00038,"02/04/26 07:30",53,5,2,20,No,NA-East,PC
S000114,P00038,"Jan 30, 2026 10:12PM",29,2,1,3,Y,NULL,steam
S000115,P00038,2026-02-12T17:27:20Z,73,5,2,22,Y,LATAM,PC
S000116,P00038,2026-02-12T17:27:20Z,73,5,2,22,Y,LATAM,PC
S000117,P00038,2026-01-18T01:49:20Z,35,2,1,10,0,NULL,PS5
S000118,P00038,"02/14/2026 06:41",43,3,1,13,No,APAC,IOS/Android
S000119,P00038,2026-02-05T07:21:20Z,42,4,1,17,1,APAC,PS5
S000120,P00038,2026-01-29T16:42:20Z,33,3,1,5,Y,NA-East,pc/steam
S000121,P00038,2026/02/09,48,5,3,21,0,"NA West",PC
S000122,P00039,2026/01/14,39,4,1,27,Y,NA-East,Mobile
S000123,P00039,"Dec 06, 2025",16,1,0,0,N,NULL,pc/steam
S000124,P00039,"01/09/2026 13:44",34,2,1,9,Yes,LATAM,Mobile
S000125,P00039,2026-01-21T02:02:23Z,19,2,1,3,Y,NULL,Steam
S000126,NULL,2025-12-12T10:07:23Z,56,4,3,,0,LATAM,steam
S000127,P00039,"01/11/2026 09:39",49,4,3,,Yes,EU-Central,Xbox
S000128,P00044,"16.10.2025 13:39",43,3,1,19,,NA-East,PC
S000129,P00044,"11/16/2025 14:04",63,NULL,2,15,Y,NA-East,PC
S000130,P00044,"10/11/2025 18:30",46,3,1,15,,"NA West",PS5
S000131,P00044,2025-11-09T02:24:19Z,51,5,2,15,No,NULL,PC
S000132,P00044,"Nov 04, 2025",37,2,1,15,No,LATAM,steam
S000133,P00044,"10/29/2025 07:15",48,3,2,14,N,LATAM,IOS/Android
S000134,P00044,2025-10-08T01:03:19Z,35,2,1,3,No,NA-East,pc/steam
S000135,P00044,2025-10-25T00:16:19Z,43,3,1,8,1,LATAM,pc/steam
S000136,P00044,11/12/2025,54,3,2,18,1,,Xbox
S000137,P00044,2025-11-09T02:57:19Z,"67 mins",4,2,23,1,NULL,Xbox
S000138,P00044,"10/15/2025 00:23",62,4,1,16,Yes,EU-Central,PC
S000139,P00050,2026.01.17,44,3,2,11,N,APAC,
S000140,P00050," 2025/12/28",34,3,1,14,1,NA-East,PS5
S000141,P00050,"01/30/26 06:52",35,2,1,10,No,NA-East,Xbox
S000142,P00051,2025-09-25T05:18:35Z,21,1,0,6,0,LATAM,IOS/Android
S000143,P00051,"10/06/2025 10:41",23,2,1,10,Yes,NA-East,Mobile
S000144,P00051,"2025.10.15 ",52,5,2,20,No,LATAM,PC
S000145,P00051,"Sep 23, 2025 09:46AM",33m,3,2,15,N,LATAM,Xbox
S000146,P00051,"Oct 23, 2025 06:37AM",13,1,0,1,1,EU-Central,Mobile
S000147,P00051,"10/02/25 09:24",8,1,1,0,N,"NA West",steam
S000148,P00051,"10/31/25 03:46",53,3,1,14,1,LATAM,pc/steam
S000149,P00057,2025-12-10T18:21:46Z,37,3,1,9,Yes,APAC,pc/steam
S000150,P00057,2025-12-26T20:52:46Z,69,4,2,15,,,steam
S000151,P00057,2025-11-30T17:41:46Z,49,3,2,19,1,"NA West",IOS/Android
S000152,P00057,2025-11-16,39,2,1,10,,"NA West",PS5
S000153,P00057,2025-12-18T15:05:46Z,67,5,3,,N,NULL,PS5
S000154,P00057,"11/30/2025 16:02",34,2,1,12,Yes,,Mobile
S000155,P00057,2025-11-28T08:15:46Z,14,1,1,2,,,steam
S000156,P00058,"02/25/2026 10:51",26,2,1,7,No,,Xbox
S000157,P00058,"02/25/2026 10:51",26,2,1,7,No,,Xbox
S000158,P00058,"02/19/2026 23:40",30,2,1,7,Y,EU-Central,PS5
S000159,P00058,"03/16/2026 00:09",34,2,1,12,N,APAC,pc/steam
S000160,P00058,2026-04-01T19:43:40Z,34,3,2,20,No,LATAM,Xbox
S000161,P00058,2026-03-01T23:46:40Z,47m,3,2,20,,"NA West",PC
S000162,P00058,"03.04.2026 10:11",48,5,3,25,,NA-East,pc/steam
S000163,P00058,2026-03-17T01:39:40Z,53,4,3,12,N,LATAM,Steam
S000164,P00059,2026-03-10T15:26:32Z,49,4,3,24,Y,,Mobile
S000165,NULL,2026-03-29T08:12:32Z,30,2,1,12,,NA-East,Mobile
S000166,P00059,"03/03/2026 06:55",65,4,1,20,,NA-East,Mobile
S000167,P00059,2026.03.30,44,3,2,15,1,NULL,IOS/Android
S000168,P00060,2025-08-28T10:11:58Z,51,5,3,22,Y,EU-Central,
S000169,P00060,"09/05/2025 15:54",45,4,2,21,No,"NA West",steam
S000170,P00060,"10/13/2025 11:28",35,2,1,,,APAC,
S000171,P00062,"11/04/2025 17:42","37 mins",NULL,1,16,N,NA-East,pc/steam
S000172,P00062,"11/04/2025 17:42","37 mins",NULL,1,16,N,NA-East,pc/steam
S000173,P00070,"2026-02-17 00:11:13",9,1,0,4,Yes,NULL,Mobile
S000174,P00070,2026-03-03,70,6,2,19,Yes,,Mobile
S000175,P00070,2026-02-05T05:34:13Z,68,5,2,25,,,Steam
S000176,P00070,"02/07/2026 14:29",63,4,1,16,0,APAC,Xbox
S000177,P00070,"Mar 11, 2026",16,1,0,5,1,EU-Central,IOS/Android
S000178,P00070,"03/11/2026 15:29",38,3,1,8,No,LATAM,PS5
S000179,P00070,2026-02-28T12:28:13Z,"20 mins",1,1,3,1,APAC,Mobile
S000180,P00070,"02/16/2026 09:29",38,4,2,18,Y,APAC,PC
